distance_kpc,ra_center,dec_center,radius_deg,radius_pc,n_members,source_file
1.0,299.8447243425274,-75.85309740670664,0.5672400208357716,9.900206012665452,384,cluster_d1.00kpc_ra299.8447_dec-75.8531_id1.csv
1.0,298.69121229199004,-72.42814245126603,0.6328990319602632,11.046171940391414,494,cluster_d1.00kpc_ra298.6912_dec-72.4281_id2.csv
1.0,307.224753598125,-72.75770266708525,0.3666702615799285,6.399603333718617,216,cluster_d1.00kpc_ra307.2248_dec-72.7577_id3.csv
1.0,305.9850722578775,-71.71593165116249,0.4497343843018428,7.849345765496656,314,cluster_d1.00kpc_ra305.9851_dec-71.7159_id4.csv
1.0,300.13762570128034,-70.42233339171506,1.485116640685478,25.92017515611917,1567,cluster_d1.00kpc_ra300.1376_dec-70.4223_id5.csv
1.0,299.2354378924034,-69.10937472720843,0.5875074289934678,10.253939015862807,419,cluster_d1.00kpc_ra299.2354_dec-69.1094_id6.csv
1.0,303.8711753114509,-67.42300336717021,0.9438788132528618,16.47379303107913,931,cluster_d1.00kpc_ra303.8712_dec-67.4230_id7.csv
1.0,297.1491224213444,-67.70429672679556,0.6667036543683167,11.636173903805402,521,cluster_d1.00kpc_ra297.1491_dec-67.7043_id8.csv
1.0,297.00955353584294,-66.1976346621327,0.6447902650470279,11.253713109877546,495,cluster_d1.00kpc_ra297.0096_dec-66.1976_id9.csv
1.0,298.1356749942158,-63.43256684587608,1.687182392015065,29.44688782233657,2188,cluster_d1.00kpc_ra298.1357_dec-63.4326_id10.csv
1.0,302.07036233866455,-62.47904785443029,0.5310474682810954,9.268526805885267,363,cluster_d1.00kpc_ra302.0704_dec-62.4790_id11.csv
1.0,298.1048437411749,-59.67424333441479,1.5703441467441175,27.40767575010584,1971,cluster_d1.00kpc_ra298.1048_dec-59.6742_id12.csv
1.0,301.51846716331244,-60.91348194342216,0.49896935181487734,8.708658055711552,319,cluster_d1.00kpc_ra301.5185_dec-60.9135_id13.csv
1.0,302.65464485228597,-59.20908308828765,0.40074276594426,6.9942807192763405,217,cluster_d1.00kpc_ra302.6546_dec-59.2091_id14.csv
1.0,302.06972489223335,-52.89665938678835,0.4687740656661995,8.181650893835288,319,cluster_d1.00kpc_ra302.0697_dec-52.8967_id15.csv
1.0,298.16787246464685,-52.984713351295,0.4956609398140825,8.650915373285189,370,cluster_d1.00kpc_ra298.1679_dec-52.9847_id16.csv
1.0,299.5538912519429,-52.29127844161978,0.3838417043016409,6.699301546530115,217,cluster_d1.00kpc_ra299.5539_dec-52.2913_id17.csv
1.0,301.64978334813236,-51.63174787584076,0.3905205360680042,6.815869151039943,218,cluster_d1.00kpc_ra301.6498_dec-51.6317_id18.csv
1.0,298.58763992727575,-50.35590405220963,0.4347032457826149,7.587002908012785,257,cluster_d1.00kpc_ra298.5876_dec-50.3559_id19.csv
1.0,300.5008234062374,-49.390685277132036,1.0115416168381774,17.65473173477311,621,cluster_d1.00kpc_ra300.5008_dec-49.3907_id20.csv
1.0,302.51032587257833,-48.693232267307266,0.5862795680813849,10.232508800190422,471,cluster_d1.00kpc_ra302.5103_dec-48.6932_id21.csv
1.0,299.7541581560947,-47.7930041449444,1.1455827823352602,19.994191405907827,1274,cluster_d1.00kpc_ra299.7542_dec-47.7930_id22.csv
1.0,299.45729038444847,-46.05813624301588,0.43212711092735084,7.54204087281304,271,cluster_d1.00kpc_ra299.4573_dec-46.0581_id23.csv
1.0,303.7029145230345,-43.77253328408499,0.8362924735547621,14.596057173178206,889,cluster_d1.00kpc_ra303.7029_dec-43.7725_id24.csv
1.0,301.1847773534472,-43.148340464868525,2.845233655516778,49.658695277321904,4348,cluster_d1.00kpc_ra301.1848_dec-43.1483_id25.csv
1.0,301.7209899876242,-39.38611477626998,1.4837133514027068,25.895683137776864,1755,cluster_d1.00kpc_ra301.7210_dec-39.3861_id26.csv
1.0,302.04779357765113,-36.34287243235109,0.5959161557793998,10.400698984177962,458,cluster_d1.00kpc_ra302.0478_dec-36.3429_id27.csv
1.0,303.6452786493822,-34.10132610595554,0.502144928110801,8.764082317723707,345,cluster_d1.00kpc_ra303.6453_dec-34.1013_id28.csv
1.0,303.2915716755415,-32.15112047776405,0.6927888170968544,12.091445879336893,480,cluster_d1.00kpc_ra303.2916_dec-32.1511_id29.csv
1.0,303.99566324501575,-30.69971930727962,0.559396329792258,9.763307778446949,413,cluster_d1.00kpc_ra303.9957_dec-30.6997_id30.csv
1.0,306.8573726291146,-31.523784690507185,0.45270948740183414,7.901271110177795,295,cluster_d1.00kpc_ra306.8574_dec-31.5238_id31.csv
1.0,306.13012525128016,-27.448010074392517,1.8995656101191822,33.15367425423465,2515,cluster_d1.00kpc_ra306.1301_dec-27.4480_id32.csv
