# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Sep 27 22:19:33 CEST 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.01471 0.00000 10.07918 0.0900000036 1.0816895926    0.090 -3.421  3.3635  5.219    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-17      0.00 7.093e-01 2.759e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 13.322 15.370 18.285 18.332 13.892
0.01471 0.00000 10.07918 0.1000000015 1.1711064122    0.100 -3.237  3.3897  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-20      0.00 7.088e-01 2.765e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.862 14.909 17.811 17.859 13.432
0.01471 0.00000 10.07918 0.1055228859 1.2156518026    0.105 -3.158  3.4001  5.172    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-19      0.00 7.085e-01 2.768e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.666 14.712 17.609 17.656 13.235
0.01471 0.00000 10.07918 0.1200000048 1.3193154741    0.120 -2.970  3.4251  5.139    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 7.077e-01 2.775e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.195 14.129 16.861 16.909 12.681
0.01471 0.00000 10.07918 0.1400000006 1.4384526719    0.140 -2.787  3.4449  5.103    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-18      0.00 7.068e-01 2.784e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.739 13.405 15.781 15.828 12.026
0.01471 0.00000 10.07918 0.1450567693 1.4651046324    0.145 -2.750  3.4485  5.095    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.99e-18      0.00 7.066e-01 2.787e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.644 13.264 15.579 15.626 11.898
0.01471 0.00000 10.07918 0.1599999964 1.5372931554    0.160 -2.645  3.4585  5.074    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-16      0.00 7.060e-01 2.793e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.383 12.876 15.015 15.063 11.546
0.01471 0.00000 10.07918 0.2000000030 1.6938790862    0.200 -2.424  3.4773  5.024    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-16      0.00 7.047e-01 2.806e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.831 12.107 13.959 14.006 10.842
0.01471 0.00000 10.07918 0.2500000000 1.8403257998    0.250 -2.209  3.4934  4.971    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-17      0.00 7.037e-01 2.815e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.293 11.399 13.029 13.076 10.193
0.01471 0.00000 10.07918 0.3000000119 1.9529139769    0.300 -2.044  3.5039  4.927    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-20      0.00 7.035e-01 2.817e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.881 10.894 12.412 12.459 9.721
