RA_center,Dec_center,Our_Radius_pc,Our_Dist_kpc,Simbad_Name,Simbad_Type,Simbad_Dist_kpc,Members,Source_File
299.8447,-75.8531,9.9,1.0,None,None,Unknown,384,cluster_d1.00kpc_ra299.8447_dec-75.8531_id1.csv
298.6912,-72.4281,11.05,1.0,None,None,Unknown,494,cluster_d1.00kpc_ra298.6912_dec-72.4281_id2.csv
307.2248,-72.7577,6.4,1.0,None,None,Unknown,216,cluster_d1.00kpc_ra307.2248_dec-72.7577_id3.csv
305.9851,-71.7159,7.85,1.0,None,None,Unknown,314,cluster_d1.00kpc_ra305.9851_dec-71.7159_id4.csv
297.1491,-67.7043,11.64,1.0,None,None,Unknown,521,cluster_d1.00kpc_ra297.1491_dec-67.7043_id8.csv
297.0096,-66.1976,11.25,1.0,None,None,Unknown,495,cluster_d1.00kpc_ra297.0096_dec-66.1976_id9.csv
302.0704,-62.479,9.27,1.0,None,None,Unknown,363,cluster_d1.00kpc_ra302.0704_dec-62.4790_id11.csv
302.6546,-59.2091,6.99,1.0,None,None,Unknown,217,cluster_d1.00kpc_ra302.6546_dec-59.2091_id14.csv
298.1679,-52.9847,8.65,1.0,None,None,Unknown,370,cluster_d1.00kpc_ra298.1679_dec-52.9847_id16.csv
301.6498,-51.6317,6.82,1.0,None,None,Unknown,218,cluster_d1.00kpc_ra301.6498_dec-51.6317_id18.csv
299.4573,-46.0581,7.54,1.0,None,None,Unknown,271,cluster_d1.00kpc_ra299.4573_dec-46.0581_id23.csv
302.0478,-36.3429,10.4,1.0,None,None,Unknown,458,cluster_d1.00kpc_ra302.0478_dec-36.3429_id27.csv
303.6453,-34.1013,8.76,1.0,None,None,Unknown,345,cluster_d1.00kpc_ra303.6453_dec-34.1013_id28.csv
303.9957,-30.6997,9.76,1.0,None,None,Unknown,413,cluster_d1.00kpc_ra303.9957_dec-30.6997_id30.csv
307.2336,-26.6808,6.58,1.0,None,None,Unknown,219,cluster_d1.00kpc_ra307.2336_dec-26.6808_id33.csv
304.4613,-28.6911,6.93,1.0,None,None,Unknown,247,cluster_d1.00kpc_ra304.4613_dec-28.6911_id34.csv
306.6471,-23.1303,7.11,1.0,None,None,Unknown,216,cluster_d1.00kpc_ra306.6471_dec-23.1303_id38.csv
316.1096,-2.664,7.19,1.0,None,None,Unknown,228,cluster_d1.00kpc_ra316.1096_dec-2.6640_id47.csv
298.251,-72.3935,10.84,1.122018454301964,None,None,Unknown,422,cluster_d1.12kpc_ra298.2510_dec-72.3935_id2.csv
302.6766,-72.3728,6.84,1.122018454301964,None,None,Unknown,210,cluster_d1.12kpc_ra302.6766_dec-72.3728_id3.csv
305.5613,-71.6526,6.87,1.122018454301964,None,None,Unknown,194,cluster_d1.12kpc_ra305.5613_dec-71.6526_id4.csv
301.1871,-70.3821,9.97,1.122018454301964,None,None,Unknown,404,cluster_d1.12kpc_ra301.1871_dec-70.3821_id6.csv
304.3197,-67.7907,11.28,1.122018454301964,None,None,Unknown,441,cluster_d1.12kpc_ra304.3197_dec-67.7907_id8.csv
296.9391,-66.4658,7.71,1.122018454301964,None,None,Unknown,262,cluster_d1.12kpc_ra296.9391_dec-66.4658_id10.csv
299.9199,-66.0697,7.37,1.122018454301964,None,None,Unknown,237,cluster_d1.12kpc_ra299.9199_dec-66.0697_id11.csv
297.2535,-58.7217,9.06,1.122018454301964,None,None,Unknown,345,cluster_d1.12kpc_ra297.2535_dec-58.7217_id15.csv
